,Hotel Name,Rating,Price,Hotel URL,Descriptions
0,Room Mate Gerard,"8,8",€ 1.100,https://www.booking.com/hotel/es/room-mate-gerard.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4Atf18q0GwAIB0gIkMDczOTM1ZWEtNzY1NS00ZWUwLWIxMjAtNjkyYjc0ODVjMDJk2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-12&checkout=2024-06-16&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=863e4542382c01df&srepoch=1706867466&all_sr_blocks=224211802_98757563_0_2_0&highlighted_blocks=224211802_98757563_0_2_0&matching_block_id=224211802_98757563_0_2_0&sr_pri_blocks=224211802_98757563_0_2_0__110030&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"El Room Mate Gerard en Barcelona ofrece alojamiento con piscina exterior de temporada y centro de fitness.

Cuenta con terraza. Su ubicación, en el distrito del Eixample, hace que esté cerca de atracciones como el Teatro Tívoli y a 700 metros de la calle Portal de l'Angel.

Todas las habitaciones del hotel ofrecen una decoración sencilla pero elegante. Están equipadas con armario, TV de pantalla plana y aire acondicionado. Algunas habitaciones incluyen balcón. Todos los alojamientos tienen baño privado con ducha y artículos de aseo gratuitos.

Se sirve un desayuno buffet a diario.

El personal de la recepción 24 horas habla inglés y español y puede ofrecer información durante la estancia. Otras instalaciones incluyen WiFi portátil.

La Plaza de Cataluña está a 9 minutos a pie del alojamiento. A 13 km se halla el aeropuerto de Barcelona-El Prat."
1,Melia Barcelona Sarriá,"8,2",€ 1.378,https://www.booking.com/hotel/es/melia-barcelona-sarria.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4Atf18q0GwAIB0gIkMDczOTM1ZWEtNzY1NS00ZWUwLWIxMjAtNjkyYjc0ODVjMDJk2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-12&checkout=2024-06-16&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=863e4542382c01df&srepoch=1706867466&all_sr_blocks=9048004_91988994_2_2_0&highlighted_blocks=9048004_91988994_2_2_0&matching_block_id=9048004_91988994_2_2_0&sr_pri_blocks=9048004_91988994_2_2_0__137804&nad_id=5c9583ee-9f6d-44d1-b3a0-8a38ffe42229_0&nad_cpc=0.58&nad_track=eyJyYW5rIjoxLCJrb2RkaVRyYWNraW5nSW5mbyI6InVWalJGcGNkb2hXWHFLWlNVekJCSVhoWTl3ajEvWExnaU9PS3Zhb2VYNHQzQjYzd1pKL0ZkQjA3QnM4VHllMmFjUWcyaVJDTmZpbGRxYjF4eThpZmo2NjV2S1JLekJnL3VsOGsxeFRJaGdZODgyYm5kdGpoNHREZmlRNytNK0pHaG5LMkNiLzhhaEJsYjlDMHlpZkxUZm15ZUVFNmdYUlZiRjFqMlNFcEpKdlFaL2hMT1FLeC8rZjhlWTh5NEIxMUNiQ0RYKzZZZmgxUjhmY1E1T2lRZWhYbjdvU1JHUnBjT2g2c3IvMkZRbytSMzZVaUsyTkdwaDR3bVJwNy9IUUFwdkdUYTBkdUpYbU9TOWp4KzRReXNXTzh0Z1h1a09pb2xrSzU0VExCV2FZM2JpUmFNSHVybk5UdEN3MnNpUDNUY1BrYUNWaE1kYTJpZ1J1S3FrbjFGN1NiSlFyZjlBZ2MvcSs2Wjdvd2UyQzNrWjNLU1p5MmZoK2h5Vy9ibWtwTDJja2FyaXEwWm54aWxWVGF6KytiTm9RT3NBWkRhYkJsQWEwS05SVS9SOWxUZDhZKzByU1VSN2IwQ2ZMWmxFTC9aRWhvZVcxUFo5cU1DTXlQSnpVS1lUdHp1UnhPRGdVV2JiN3dKNkY3WmRLcExBVDdKeHYzVE9iOTV5VVhNK05qZXUwcmFhV3pMeWQ3WFZkaGoxcmhPR0NTVjU0RjJleTBPckI0c3RER09lczJiL1k2TlBQOFBUcGJjVTFlNGFoczIzVDlGSUc1UFhkU3BpYjNFTlhSV2lkY0xRbWp5My9KaHRyRXAyaGZwbTlkS3Jpenl6eEtTSTJEV01iN3VTRkVveXpsWW1jcU01U3d1SkR0L1pnWGVPV3BZcEY1Um1iZWh2TlU3ck52WlE0RXJCN3JTaTlDZXY5OGFiSVZndnZuRHdmZjFtd3BsZHR0eXdnajF5OEZaRnk1RVVSTHdLL0tuSm1qTnpHQXRWandTVERSWEdEbnBoSkNoZk5vK0FJTFE5WFZ5VDZyUDFmYmNmb0dRSEVoT3VYakpod0hYZ3FqVHZxc0M3TWY3bDBWWnpmRVltOStkeDVLS2NOOGIwY1FZTTFoenZVcXZOcDZmRWNUV1VQaDcvSW5TaERsdDBBNWhXSWpyWm5ITjlJajFwd3NqS05ydHNzR0RCbWRlYkdDVGhtcEEyQ1o1MVI5emR0NUxaTjVCcXQyNW1zWHNNYXVzVkplMDg5Y1RUMndObE45eE1OcmV6NVN5dDFFKytNZ3RZdkpqN004ajRVQTF0dUlaTERNRk1EQ3ZXaDFNZSt6STVraHh3VHJTV25KRWRSZDhKR2JTVmRZV0RMc3k5NXpxVGJacHV3TldZMWxXSWR3aWp6UnBqdzhoVktvRi9TcFFhT2VqVFY3bm9zWk4xL1ZCNGFLaHV5bllweE9SWC9Yd3I5Z1hQRE1DbGlqbU4vWWlTbzB6U0w4Q2tTRnlLY0tQK0lXQ0M2eDBGYWZWallpMlZSS1IwM29iMnhkelNQVG1BSmVmKzN3Qmd0c25rV2RLbGxUajFWdkExWkU1NnVWbTFUT0htUXlCL3ZZSC9qQTNwRU5UWitzOHg1b2NWaVhuVC9hK1BhUjNhQlQ0aEI4OW12UnAvd2wvenp5NkI0b0VqZUQveDA5dzFmbWY2YnI2NHpWK1hEL0JoVkFYdmF2ZHNiU3NKVjV4SmRPajVoNmUrUlV3aC85L1lDdUZZeGRiT0lGMUlqQjdjVGNBUHJRZHN0ZHVUdy9WWVhVV1NCNDdyYklHRXY4bWpOZ29RaTQ0VTE1bzNWMU5Da3Z4Vm44N2wzRElzdXdLMlZGMVlOMHo0dGlaZnZaSWtrUHVWTnJwTm1hb296UitQV0ZWNlF0ZC9TRmhpYlNtREtmMzBMdld1Sys5TEN6aWRMWWtBTUNYZ0xKdHJtbDd0MUZRS3F1SytEUHk4aXVNcjRsOEViYmpqenh2eWxMWnFnSnRJK0hSWHBIQ3B2QU9Yb1Zaais0cGtoRGJ2c050QXE1TlhhcGhZOFBlU01SYkZOdnIwaExnSjBnb0VINzBuK0krYjAyZ1R1a2lGbGtMZDlkVkpHb3cvVUtDMFNSTW95WktCdXo2VzgxYmZ5cTdYNlpXMXF4WGdWanFyanhuTC9qdkxWV1QzdHIxMFIyeW1pckE1RFdscXY0M2h3NzVXNWRZV2pYNGpya2Z5ZDMwTnNCWGJnYXVPMDZuMTdmR2xPNCsrMkluZHNyNlQyQitjb2o4YTVJREF2L2pYeEFwSFZQT3RCY0lidlRNbmpqMFlaTmlvNjVNWjd4Rk1KSy9INGNWYTNJSWduNllJZ01rRmVUN1dJWm9xb3pBTU5DNmM1RHZvTHZ5MTFlS0t1VGlsMUhpMUZWREZ4SnBVWGlhQkdTTUlpT1BQU2Vwd0p4eCtzWDVuSU1maCtJNzdMc3p5VVB3Z0xaTnZSbG12MTlva083V2VRanVJV3kxNXp1RmhnbXdSZGtDWkVZRTRmeVdzZzRpZFhpTFdWd0xYamlkck50cVJCdWF5cE13MXFkZWY5Nnp4WG9xWTJWc1RsRTZYYXZPSmsrU2N6TXJnZ0hTQ0ttcHk2MXdDZ3oxRUFrVFRKZnhnUHNRMldMS1owZVpvbVM1WWg5UVl0SVVpUXB0YnduM3RUcVh3L1BNS3E3d3h1Nm5PeWtrUEpqZGdBZklUVnF4NkdNY0NwTEhUVjZXZDJ2MEg2SVlMTUMzWnJlZFRCc2JwRGZFOVNkR3lUK0huckJCWjFtY21DeHRLYjFwd2psOUZ1RjgvM1RLWEtYcFpzYnlJZW9sazB4QkJYVlBaSFcwQU5udGtpL1ZSeWVjSFZpdUVxcCtxTjAzTjZvTTBTSlowd3N0dGVuSTVqRXBQZUl3UkZkOEZmSXJ0cklPUWxmYXlEMytUMmpJRmhCSDFKQXRaV1JxUWd5Zk8zVjViWHZKeUtJT0dTcmMyVmtuK1RGd2FXb2lPMnNUMGJUMUlkYWd0MU5sSG00RVdRZFE4MlF5MW05VnlCazFCajRNZWZGME13R1JBOXkyYnhaK1RWTWtZQzQvYlZlY05oOE5vMDRQVXpreE54NTRTNU1wbWZadWtJN01xREJrQ0ZiVDhxM28yUjlOdUdWZ2JDbEhZejJ6Y3E3QXRqQ2ZxNkRNa3JhVEoyazQ1eU81V1FTSUFYVFA3bXRQQ3pFMDRVdUFRQ1pMRk80R3ZOWlpIWnQ1cmJnbWg3VmYwMDgvWEVWWm41NUZhc3kxZz09In0%3D&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"El Meliá Barcelona Sarriá cuenta con spa, gimnasio 24 horas y restaurante. Se halla a 2 km de La Pedrera y la Casa Batlló, unas de las obras más importantes de Gaudí. Hay WiFi gratuita en todas las zonas.

Las habitaciones del Meliá Barcelona Sarriá presentan una decoración elegante de estilo contemporáneo y cuentan con TV de 42 pulgadas y baño con acabados en mármol y bañera o ducha.

Todas las habitaciones de categoría Level Lounge ofrecen servicios superiores, como zonas privadas exclusivas, zona de recepción privada con atención personalizada y 1 acceso gratuito por estancia al spa Serena del hotel.

Todas las mañanas se sirve un desayuno buffet internacional, que incluye productos sin gluten y opciones para dietas especiales. El restaurante Nonna Maria elabora cocina mediterránea e internacional.

La exclusiva avenida comercial Diagonal queda a solo 1 calle, mientras que el estadio Camp Nou del F. C. Barcelona está a unos 10 minutos en coche. Este alojamiento se encuentra a solo 200 metros de la plaza Francesc Macià y a unos 20 minutos a pie del elegante Passeig de Gràcia."
2,Catalonia Diagonal Centro,"8,4",€ 799,https://www.booking.com/hotel/es/catalonia-diagonal-centro.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4Atf18q0GwAIB0gIkMDczOTM1ZWEtNzY1NS00ZWUwLWIxMjAtNjkyYjc0ODVjMDJk2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-12&checkout=2024-06-16&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=863e4542382c01df&srepoch=1706867466&all_sr_blocks=9058108_194625034_0_2_0&highlighted_blocks=9058108_194625034_0_2_0&matching_block_id=9058108_194625034_0_2_0&sr_pri_blocks=9058108_194625034_0_2_0__79920&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"El Catalonia Diagonal Centro se encuentra en pleno centro del barrio barcelonés del Eixample, a 300 metros de la estación de metro Diagonal. Cuenta con piscina de temporada al aire libre y WiFi gratuita en todas las instalaciones.

El Catalonia Diagonal Centro ofrece alojamiento cómodo y moderno cerca de los lugares más famosos de Barcelona.

Se halla a 300 metros de La Pedrera, en la avenida Passeig de Gràcia, una de las creaciones más famosas de Gaudí. Está cerca de los edificios modernistas, la plaza Catalunya y Las Ramblas.

Las elegantes habitaciones incluyen muebles modernos de madera y baño de mármol. Disponen de TV vía satélite y WiFi gratuita.

El hotel está a unos pasos del barrio de Gràcia, con sus tiendas bohemias, sus plazas arboladas y su gran número de bares y restaurantes. En las inmediaciones hay varias paradas de metro y autobús que permiten acceder fácilmente al resto de la ciudad. Las habitaciones incluyen TV inteligente con Chromecast."
3,Barcelona with rooms and lofts in front of the tourist metro stop,"7,0",€ 224,https://www.booking.com/hotel/es/casa-nou-barcelona.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4Atf18q0GwAIB0gIkMDczOTM1ZWEtNzY1NS00ZWUwLWIxMjAtNjkyYjc0ODVjMDJk2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-12&checkout=2024-06-16&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=863e4542382c01df&srepoch=1706867466&all_sr_blocks=893331105_359716277_2_0_0&highlighted_blocks=893331105_359716277_2_0_0&matching_block_id=893331105_359716277_2_0_0&sr_pri_blocks=893331105_359716277_2_0_0__22400&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Barcelona with rooms and lofts in front of the tourist metro stop está en Barcelona, a 7,5 km de Sagrada Familia y a 8,7 km de Parque Güell, y dispone de wifi gratis.

La Pedrera está a 9,4 km del alojamiento, y Casa Batlló está a 10 km. El aeropuerto (Aeropuerto de Barcelona - El Prat) está a 21 km."
4,TWO Hotel Barcelona by Axel 4* Sup- Adults Only,"8,4",€ 964,https://www.booking.com/hotel/es/two-barcelona-by-axel.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4Atf18q0GwAIB0gIkMDczOTM1ZWEtNzY1NS00ZWUwLWIxMjAtNjkyYjc0ODVjMDJk2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-12&checkout=2024-06-16&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=863e4542382c01df&srepoch=1706867466&all_sr_blocks=131688502_0_2_0_0&highlighted_blocks=131688502_0_2_0_0&matching_block_id=131688502_0_2_0_0&sr_pri_blocks=131688502_0_2_0_0__96378&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"El TWO Hotel Barcelona by Axel está situado en pleno barrio gay de Barcelona, a 2 km de la playa de la Barceloneta, y alberga una piscina en la azotea con solárium amplio.

Este hotel hetero friendly proporciona aparcamiento privado. También incluye recepción 24 horas y mostrador de información turística, donde se ofrece información sobre la ciudad y la zona gay. Además, la azotea alberga el bar Sky, un gimnasio, un baño de vapor y una sala de masajes.

Las habitaciones están equipadas con aire acondicionado y minibar. El baño es privado y consta de ducha y secador de pelo. Además, las habitaciones incluyen caja fuerte y cargador universal para teléfonos móviles.

El alojamiento alberga un bar en la azotea con vistas impresionantes a la ciudad, así como un bar salón donde se preparan cócteles fabulosos. El alojamiento sirve un desayuno buffet todas las mañanas y ofrece WiFi gratuita de alta velocidad en todas las instalaciones.

El personal puede facilitar información sobre la zona de los alrededores, conocida como “Gayxample” debido a su animado ocio nocturno gay.

El hotel se encuentra a 2 minutos a pie de la estación de metro de Rocafort y a 10 minutos a pie de la plaza España, que ofrece enlace directo en autobús con el aeropuerto de Barcelona. El TWO Hotel Barcelona by Axel se encuentra a 1,3 km de la avenida del Paralelo, repleta de bares, restaurantes, discotecas y teatros."
5,Hotel Sansi Barcelona,"8,0",€ 839,https://www.booking.com/hotel/es/sansi-barcelona-barcelona.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4Atf18q0GwAIB0gIkMDczOTM1ZWEtNzY1NS00ZWUwLWIxMjAtNjkyYjc0ODVjMDJk2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-12&checkout=2024-06-16&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=863e4542382c01df&srepoch=1706867466&all_sr_blocks=0_0_2_0_0&highlighted_blocks=0_0_2_0_0&matching_block_id=0_0_2_0_0&sr_pri_blocks=0_0_2_0_0__83898&from=searchresults#hotelTmpl,"Hotel Sansi Barcelona está muy bien situado en el barrio de Eixample, Barcelona, a 7 min a pie de Plaza Cataluña, a 400 metros de Estación de metro Passeig de Gràcia y a 6 min a pie de Casa Batlló. Este hotel de 4 estrellas ofrece servicio de habitaciones, recepción 24 horas y wifi gratis. El alojamiento está a 5 min a pie de Paseo de Gracia y a 600 metros del centro de la ciudad.

El hotel ofrece habitaciones con aire acondicionado, escritorio, caja fuerte, TV de pantalla plana y baño privado con bañera.

Cerca del alojamiento hay puntos de interés como Mercado de la Boquería, Teatro Tívoli y Palacio de la Música Catalana. El aeropuerto más cercano (Aeropuerto de Barcelona - El Prat) está a 13 km."
6,Catalonia Sagrada Familia,"8,2",€ 673,https://www.booking.com/hotel/es/cataloniaaragon.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4Atf18q0GwAIB0gIkMDczOTM1ZWEtNzY1NS00ZWUwLWIxMjAtNjkyYjc0ODVjMDJk2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-12&checkout=2024-06-16&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=863e4542382c01df&srepoch=1706867466&all_sr_blocks=9058707_195192282_0_2_0&highlighted_blocks=9058707_195192282_0_2_0&matching_block_id=9058707_195192282_0_2_0&sr_pri_blocks=9058707_195192282_0_2_0__67304&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"El Catalonia Sagrada Familia se halla a 15 minutos a pie de la Sagrada Familia de Gaudí y a solo 300 metros de la estación de tren y metro del Clot. Cuenta con restaurante, gimnasio y piscina al aire libre de temporada.

El Catalonia Sagrada Familia presenta una bella decoración tradicional. Las habitaciones incluyen escritorio, nevera pequeña con agua gratuita y caja fuerte. Hay WiFi gratuita.
Todas las habitaciones del hotel están equipadas con Smart TV con la aplicación Chromecast.

El restaurante sirve un desayuno buffet, además de varios platos de la cocina catalana y mediterránea. También hay un bar y una cafetería que sirve bebidas y aperitivos todo el día.

El Catalonia Sagrada Familia presta servicio de alquiler de coches. El personal de la recepción 24 horas proporciona información turística sobre Barcelona. El hotel está a 200 metros de la Torre Agbar.

El centro de la ciudad queda a 4 paradas desde la estación de metro del Clot, donde también para el tren que lleva al aeropuerto."
7,Hotel Paxton Barcelona,"8,7",€ 1.416,https://www.booking.com/hotel/es/paxton-barcelona.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4Atf18q0GwAIB0gIkMDczOTM1ZWEtNzY1NS00ZWUwLWIxMjAtNjkyYjc0ODVjMDJk2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-12&checkout=2024-06-16&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=863e4542382c01df&srepoch=1706867466&all_sr_blocks=621286106_369373351_2_2_0&highlighted_blocks=621286106_369373351_2_2_0&matching_block_id=621286106_369373351_2_2_0&sr_pri_blocks=621286106_369373351_2_2_0__141620&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Hotel Paxton Barcelona se encuentra en Barcelona, a 12 min a pie de Platja del Bogatell, y ofrece alojamiento con piscina de temporada al aire libre, parking privado, centro de fitness y salón de uso común. Este alojamiento ofrece restaurante, servicio de habitaciones y recepción 24 horas, además de wifi gratis en todo el alojamiento. Algunas habitaciones del alojamiento incluyen una terraza con vistas a la ciudad.

El hotel ofrece habitaciones con aire acondicionado, escritorio, cafetera, minibar, caja fuerte, TV de pantalla plana y baño privado con ducha. En Hotel Paxton Barcelona, cada habitación está equipada con ropa de cama y toallas.

En el alojamiento se puede disfrutar de un desayuno buffet.

Cerca del alojamiento hay puntos de interés como Playa de la Mar Bella, Platja de la Nova Icària y Port Olimpic. El aeropuerto más cercano (Aeropuerto de Barcelona - El Prat) está a 16 km del alojamiento."
8,Zenit Barcelona,"8,2",€ 809,https://www.booking.com/hotel/es/zenitbarna.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4Atf18q0GwAIB0gIkMDczOTM1ZWEtNzY1NS00ZWUwLWIxMjAtNjkyYjc0ODVjMDJk2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-12&checkout=2024-06-16&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=863e4542382c01df&srepoch=1706867466&all_sr_blocks=9009902_253533163_2_42_0&highlighted_blocks=9009902_253533163_2_42_0&matching_block_id=9009902_253533163_2_42_0&sr_pri_blocks=9009902_253533163_2_42_0__80920&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"El Zenit Barcelona está situado en Barcelona, a 250 metros de la plaza Francesc Macià de la avenida Diagonal. Este hotel moderno ofrece habitaciones elegantes e insonorizadas con aire acondicionado, WiFi gratuita y carta de almohadas.

El Zenit está a 15 minutos a pie del paseo de Gracia, donde se encuentran La Pedrera y la Casa Batlló de Gaudí. La plaza de Cataluña y Las Ramblas están a otros 15 minutos a pie.

Las habitaciones del Zenit Barcelona están equipadas con TV vía satélite, caja fuerte, minibar, escritorio, hervidor de agua con set de té y café gratuito y baño privado con secador de pelo.

El restaurante del Zenit Hotel elabora platos gourmet españoles e internacionales y sirve un desayuno especial sin gluten y menús para niños. Además, prepara almuerzos para llevar y presta servicio de habitaciones bajo petición.

El establecimiento dispone de recepción 24 horas, mostrador de información turística y servicio de lavandería, planchado y limpieza en seco. Hay un aparcamiento de pago a 10 minutos a pie."
9,Hotel Cantón,"8,3",€ 620,https://www.booking.com/hotel/es/canton-barcelona.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4Atf18q0GwAIB0gIkMDczOTM1ZWEtNzY1NS00ZWUwLWIxMjAtNjkyYjc0ODVjMDJk2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-12&checkout=2024-06-16&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=863e4542382c01df&srepoch=1706867466&all_sr_blocks=27373206_348629260_0_2_0&highlighted_blocks=27373206_348629260_0_2_0&matching_block_id=27373206_348629260_0_2_0&sr_pri_blocks=27373206_348629260_0_2_0__61984&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"El Hotel Cantón se encuentra en el centro de Barcelona, a menos de 300 metros de Las Ramblas y del Puerto Viejo. Ofrece recepción las 24 horas y habitaciones con TV vía satélite y WiFi gratuita en todas las instalaciones.

Las habitaciones del Cantón presentan una decoración luminosa y disponen de baño privado, nevera, aire acondicionado y calefacción.

El Cantón sirve un desayuno a diario y alberga una máquina expendedora de bebidas calientes y una sala con TV y ordenador.

El Cantón proporciona mostrador de información turística y está bien comunicado con muchos lugares de interés turístico de Barcelona. Se halla a poca distancia a pie de diversos bares y restaurantes y a menos de 5 minutos a pie de la Plaza Real.

La estación de metro de Drassanes se encuentra a menos de 500 metros del Cantón, mientras que la estación de tren de Sants está a 5 paradas."
