,Hotel Name,Rating,Price,Hotel URL,Descriptions,Treatment_Period,Treatment_City
0,Casa Abamita,"8,5",€ 1.104,https://www.booking.com/hotel/es/mayerling-abamita-apartments.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4AtWPyK0GwAIB0gIkMzk5M2Q5NDUtNjNjMi00ZTliLTlkYjUtODFhNGViYmQ2YmYz2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-19&checkout=2024-06-23&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=575631b954740581&srepoch=1706166260&all_sr_blocks=158998605_326128883_0_0_0&highlighted_blocks=158998605_326128883_0_0_0&matching_block_id=158998605_326128883_0_0_0&sr_pri_blocks=158998605_326128883_0_0_0__110368&from=searchresults#hotelTmpl,"Los Apartamentos Mayerling Abamita se encuentran en Barcelona y ofrecen alojamiento con aire acondicionado. El establecimiento está a 600 metros de la plaza Plaça Catalunya. Hay WiFi gratuita en todo el recinto.

El alojamiento dispone de estudios y habitaciones. Los estudios incluyen zona de cocina con vitrocerámica. Las habitaciones y los estudios están equipados con TV de pantalla plana, microondas y nevera. Hay baño privado con secador de pelo en todos los alojamientos. Se proporcionan toallas y ropa de cama.

Los Apartamentos Mayerling Abamita se encuentran a 600 metros de la avenida Portal de l'Angel, a 700 metros de la Seu, la catedral de Barcelona, y a 13 km del aeropuerto de Barcelona-El Prat, el más cercano.",0,1
1,ME Barcelona,"9,2",€ 2.564,https://www.booking.com/hotel/es/me-barcelona-barcelona.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4AtWPyK0GwAIB0gIkMzk5M2Q5NDUtNjNjMi00ZTliLTlkYjUtODFhNGViYmQ2YmYz2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-19&checkout=2024-06-23&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=575631b954740581&srepoch=1706166260&all_sr_blocks=693981302_285547216_2_2_0&highlighted_blocks=693981302_285547216_2_2_0&matching_block_id=693981302_285547216_2_2_0&sr_pri_blocks=693981302_285547216_2_2_0__256430&nad_id=35c7a620-cd96-4289-8a2a-71387419e973_0&nad_cpc=0.89&nad_track=eyJyYW5rIjoxLCJrb2RkaVRyYWNraW5nSW5mbyI6InZ3b1prOGpUekNlbElyVjNtZmhKMS9CalZocThVSlVieXZJTDA3ZWJMMW84ay81eE1CR3hZYm10SU52bk5tYllxaXRSZEtzUUY1d1d1b3l6QTRqOXp4YU9oWllxY2I5S211cmhwTXBrQ01iYXV5dzNJbE1yZk1JRHo0V3VnTmlDNjhFTjdPbUxnd0l4SlQ2YlNTeU1oM0J6cTgrR2U2eUFCNG92UFZOMFN0YzA3VUVYQzRkaDZud0hFRVRzL2lzWDRnUCtFTUgzVi9zdXc5TEowWUNtUFR5WU1EMUMrR2R4RTNMcWJ6a3YyRzhyVTBGT0U3N0s5UmZHcnduV0JiNjNTU05nQ05CUnZhdDNFSDFSQk1aTjJWa3ZZRjNKODFyM2VXV21TaXFTZmpOamFXUllLOFBaajVrMGlsMU5tRDlRdUtlOFd3SW5BRXhHenhJd2dsUlduLzlqNms0RDMyRTN3cjNtNncvNDFaWHdBUnBOcGliM3p1OTd5bEx0aE8xNXpnaEVhSnBaOFd3YXdEeGFMc2NmMmd0M3U1WWhZWUR0UExXL0V5WnNIVEdTYzc5UzdMZzNNWGVYeGF3VE5HOTFmT1BHZDZ3QmFVRC8rRDQyZWtNUjVqRmRmbUFOeGlkUlZjZjE1K204UnZKUWl3RlBQaVlpSGVLYUtTU1F4Ym9xVjhQNjJ6empwK0RlV3dwNk85MkdPdGdFcXV2a1RCcEhYaFVYaFdlSDNjZ3Z0TDV0MjJjWDBSaVhhWXBuQW1HU3hwbkh2M0pMYjcvdHp3aXlwMGlwQzVKK0QxamRVV3JhYUkrZTIrb29qME5keFVWVk94WU1LNTc0Q2Z6YUhlR1MrYlcwZHJGc3cvcWFhR1JsVEd4eC8wUjc0RU1DK3dkKzl6dnU2aXlRYVJ6OTdWTnBvNnRJVmpSd1NEbTVWU1ROZHRWdWJ6VWRUSHlQK0diUWcrSFBzNUtrYVJuNXZyeXFoLy83TU10WXlyTXpKRU9pQ2lPaDFzaTlFNlppblNhUVNsYWVaVGRuYm9Lajg0VUNNd1FTRDE5N3k4ZjhHMnd0bUNWcFRlNmJINUxuK29GT3JmK21jaHlMTURyVWJhUGM3R2FJRzRsLzVaeXZlRHBsU1R4NEV3S3ZOWEZ6K01udnp6QjVOUGFUZWFRak43UUg0NWJZdUdBK2ZmcWdpMkdPNWYzR05jOXZHZmxKa2d6ZXRzdWhVWWF0V0ZnQjRvT1g2UkgwVXdOQzJKMExzTVkvUUFXVGkvbSsvUjFFTEpmeExmYVVCUzBEYk5kMTR5R1VkbG9VVUhhbnhFQy9WbWFyOGVMM1pNSXpwRDd1eFFoaWxPOGNUdkJSaGJnT2hhT3M0VStXclNhZVJXZmZ2cVowb1dDTXRBaVhLWGliUUsyK2c2R3lrN1oxcmJRYXMyeE9oWDI0TFN4eGVQUHNVdzY3L29TT3FqZlZzQXFYK2JHaUZ5NGVUbkNYZWhxd3NaSHMvaGZRMjBlNE5GSi9ZeHpoZjltcUp4RE5mUkluam4xaTgrOEZYOTlCRC9IMWZPb3lOQ2ZWM3psWGsydzY1UjhOUzVvRFZIdWxuR3RycVJZNHNMbUdqcHJ3Qkl4SE9LTWxSVjYvcU5oQlp1OFpmMzVCV0tCU0QvaVpYcEZaR0dNTjY5OHFmdXY0dWhsaWtUSVp4SzdlTnB6K0hlRG96VVFkMDNTdVlSTkZXMDdXcXNuS0p2NkhkSGVkQlZMM0JiWXBHS1pLZGRhZ1JGNDlDVWoyUGQ0OWFiVGpRbGs4VVkxZ1BFMTIvaG1Cd2ltMDlkNUNmbjM1dG00OFlUeW0raHV1bjNZWW94Z1lhQ0RoWFZyZ0lWbmpPTjdKSy9jbkFaaER0TzFMM09IVWtJcXM2WG1rVEtqYXl5ZzdJWTdOeVZ4a2RoWHlrdzNDZ0N3TnNGczEzSGE2cVplZWl0TWo1WHltK2RoVlJIR3hzQ2JlZTM1aTgveXZzbEpzUVdBNTQvSnRxYlJOamJhNWNqSTIzVjlmSG9USnFBRU9VM3pwUW53dG9icnVlQ3BKWW1KOWVFS0NwYUtNVHBWRG4xcitKdDlzNFBLN0t6cCsrTVhJOTkzbW1KWEIya3ZaNmhlS2g5YnJXU1ZEVkhpd0FwQjJmaDdDVStabmREVEsvRmkxWUJrWWtTN0ZjNDNhK3QzRDlXUVVOL1FrYjA0bGNUeFoxRi83b0Y5elJPaUFnekhsalh5UmVHNzZDNFl6QmY2RzliTWtEVEJOVUxMM1pJOC9RWnQ0QndhbEtUT1p1Q0p6ZXhRZk53M2docDdyMkpxcmR1QmovT2pnbnIrOEk3N1k0eTlYRHR6Z2grSCs2K2dVdG5TTGhWNWtncW1PeDBxZ1ZGQjhEQmwwdmo5RGFMd3UrdUU5MVRGdjZHajE1N0ZsaVZjVlgvemEzc3RTMFpTanMxREMrQ1dlaVVmbml1aWZWTlZNUnhBUjdMOVpXa1NXNlpVbUNRUEMvWGQ4MGphNWVTRmF3SXRpRWlqTFNNU1g3UlI0QWluUHJnZGVqcGxhajh0K3VENitJQmducVVyTzdyaWU0MHcxRG9kdjB0MmpveUFWLzlZQW1YVGhIc3BOWHRDQXhTRC9KcmhkS1JCY0FDSy9USEtvbGoyTlE5Rzlqdis3ZUIxbS9XWk44clp6L1VBQ2djcUFYYkowbU5WcEEra1ZrNGFTSG5ubEx5NGRrc1laQVNpLzZ1Y1VlZFQ2elNRUnJ6U2xmbkVRZHR6OFpPbTJjcVFFWFB6NkYrODFqSGRnbExNUld1aDMzdDQ2elRlS21mWURRUnp4blRHa2pzOUtadzJtVHpXT1JvU05icHdwbkJ5UEVWdnJvblZwNm56V0JMalpQdVN5Qy9WS3VnZWh3R0liRDhLOVFYRkFKcEZrYmYxK2E0a1BnZWo5NENkUDhmclF4ZllXVGJ1Q1pxbmttWWxpaHFDUzVlZENPaGZwUWQ1NXRKRm10T1MwTlRVeFRpWVBlbTJ5NUI5Qi9IVlFEenY3Ti8vZ1BrVVJHMXZ5dEd1UkhHNXp0dUJsa2NUUjFlcmZQam43ZkF0MjYxMXVCNTZhUmpSKzgzNGpBUkJPOVdSOVI4NEE2aUlNa2cxTlFXOTVldFFNWm5HckFqVGxtU29FQVlsaU9oV2Ivb2FXb0NLbkVJdy9UVmJzbmhJczF5VjBoNStRazVSTHVVdUJIVEt4cldwWEJxK1BCNGhjazN5amlGajdid3hBZlJZdVdLRS9VQTJKTmZqSFk0ZHJsUnZwOU5KdEdmM1BpVHR4c2c9PSJ9&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"ME Barcelona es un alojamiento con una ubicación excelente en el centro de Barcelona que ofrece habitaciones con aire acondicionado, terraza, wifi gratis y restaurante. Este hotel de 5 estrellas ofrece servicio de habitaciones y servicio de conserjería. El alojamiento ofrece discoteca y mostrador de información turística.

En el hotel, todas las habitaciones incluyen armario, TV de pantalla plana, baño privado, ropa de cama y toallas. ME Barcelona dispone de algunas unidades con vistas a la ciudad, y todas tienen cafetera. Las unidades disponen de caja fuerte.

En el alojamiento se puede disfrutar de un desayuno continental.

El personal de la recepción 24 horas habla catalán, alemán, inglés y español, y estará encantado de ayudar.

Cerca del alojamiento hay puntos de interés como Teatro Tívoli, Palacio de la Música Catalana y Portal del Ángel. El aeropuerto (Aeropuerto de Barcelona - El Prat) está a 13 km, y el alojamiento ofrece servicio de traslado de pago para ir o volver del aeropuerto.",0,1
2,SM Hotel Teatre Auditori,"8,5",€ 960,https://www.booking.com/hotel/es/teatre-auditori.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4AtWPyK0GwAIB0gIkMzk5M2Q5NDUtNjNjMi00ZTliLTlkYjUtODFhNGViYmQ2YmYz2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-19&checkout=2024-06-23&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=575631b954740581&srepoch=1706166260&all_sr_blocks=2466402_95148502_0_2_0&highlighted_blocks=2466402_95148502_0_2_0&matching_block_id=2466402_95148502_0_2_0&sr_pri_blocks=2466402_95148502_0_2_0__95954&from=searchresults#hotelTmpl,"El SM Hotel Teatre Auditori se encuentra frente al teatro nacional de Cataluña, cerca de las estaciones de metro de Monumental y Glòries. Este elegante hotel ofrece habitaciones con TV vía satélite.

El Auditori presenta una decoración atractiva y elegante y ofrece habitaciones con aire acondicionado, escritorio y caja fuerte.

El desayuno se sirve en la cafetería del hotel.

El personal de recepción, disponible las 24 horas, ofrece información sobre los lugares de interés de Barcelona y un servicio de alquiler de coches y bicicletas.

El hotel está a solo 15 minutos a pie de la Sagrada Familia de Gaudí. La estación de metro de Glòries se encuentra a 4 paradas de la plaza de Cataluña y de las Ramblas.",0,1
3,Catalonia Sagrada Familia,"8,2",€ 1.003,https://www.booking.com/hotel/es/cataloniaaragon.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4AtWPyK0GwAIB0gIkMzk5M2Q5NDUtNjNjMi00ZTliLTlkYjUtODFhNGViYmQ2YmYz2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-19&checkout=2024-06-23&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=575631b954740581&srepoch=1706166260&all_sr_blocks=9058707_195192282_0_2_0&highlighted_blocks=9058707_195192282_0_2_0&matching_block_id=9058707_195192282_0_2_0&sr_pri_blocks=9058707_195192282_0_2_0__100304&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"El Catalonia Sagrada Familia se halla a 15 minutos a pie de la Sagrada Familia de Gaudí y a solo 300 metros de la estación de tren y metro del Clot. Cuenta con restaurante, gimnasio y piscina al aire libre de temporada.

El Catalonia Sagrada Familia presenta una bella decoración tradicional. Las habitaciones incluyen escritorio, nevera pequeña con agua gratuita y caja fuerte. Hay WiFi gratuita.
Todas las habitaciones del hotel están equipadas con Smart TV con la aplicación Chromecast.

El restaurante sirve un desayuno buffet, además de varios platos de la cocina catalana y mediterránea. También hay un bar y una cafetería que sirve bebidas y aperitivos todo el día.

El Catalonia Sagrada Familia presta servicio de alquiler de coches. El personal de la recepción 24 horas proporciona información turística sobre Barcelona. El hotel está a 200 metros de la Torre Agbar.

El centro de la ciudad queda a 4 paradas desde la estación de metro del Clot, donde también para el tren que lleva al aeropuerto.",0,1
4,Hostal Levante Barcelona,"7,9",€ 828,https://www.booking.com/hotel/es/hostal-levante-s-c-p.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4AtWPyK0GwAIB0gIkMzk5M2Q5NDUtNjNjMi00ZTliLTlkYjUtODFhNGViYmQ2YmYz2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-19&checkout=2024-06-23&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=575631b954740581&srepoch=1706166260&all_sr_blocks=33401101_377310338_0_0_0&highlighted_blocks=33401101_377310338_0_0_0&matching_block_id=33401101_377310338_0_0_0&sr_pri_blocks=33401101_377310338_0_0_0__82804&from=searchresults#hotelTmpl,"El Hostal Levante Barcelona está situado a solo 3 minutos a pie de la famosa Rambla de Barcelona y ​ofrece WiFi gratuita y recepción 24 horas. Las habitaciones cuentan con aire acondicionado, calefacción, baño privado, ventilador y escritorio.

El Hostal Levante Barcelona alberga una máquina expendedora de bebidas y está cerca de muchas cafeterías y restaurantes. 

El establecimiento ofrece consigna de equipaje, caja fuerte y personal multilingüe que puede proporcionar información sobre qué ver y hacer en Barcelona. La animada Plaza Real se encuentra a solo 100 metros.",0,1
5,Hotel Glòries,"7,9",€ 819,https://www.booking.com/hotel/es/glories.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4AtWPyK0GwAIB0gIkMzk5M2Q5NDUtNjNjMi00ZTliLTlkYjUtODFhNGViYmQ2YmYz2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-19&checkout=2024-06-23&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=575631b954740581&srepoch=1706166260&all_sr_blocks=9144304_387058089_0_2_0&highlighted_blocks=9144304_387058089_0_2_0&matching_block_id=9144304_387058089_0_2_0&sr_pri_blocks=9144304_387058089_0_2_0__81928&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Este hotel moderno está situado a 200 metros de la plaza de toros Monumental de Barcelona y a 12 minutos de la Sagrada Familia. Ofrece habitaciones con aire acondicionado, calefacción, TV vía satélite y conexión Wi-Fi gratuita.

La parada de metro Monumental se encuentra a tan solo 3 minutos a pie del Hotel Glòries y proporciona conexiones directas con la plaza Catalunya en unos 5 minutos.

El hotel es perfecto para visitar el distrito 22@ de la innovación y la torre Agbar. El teatro nacional de Catalunya y la sala de conciertos Auditori están a solo 400 metros.

El Hotel Glòries dispone de recepción las 24 horas y ofrece servicios de alquiler de coches y bicicletas, de cambio de divisa y de venta de entradas.",0,1
6,Sallés Hotel Pere IV,"8,1",€ 1.229,https://www.booking.com/hotel/es/pereiv.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4AtWPyK0GwAIB0gIkMzk5M2Q5NDUtNjNjMi00ZTliLTlkYjUtODFhNGViYmQ2YmYz2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-19&checkout=2024-06-23&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=575631b954740581&srepoch=1706166260&all_sr_blocks=9094311_237861395_0_0_0&highlighted_blocks=9094311_237861395_0_0_0&matching_block_id=9094311_237861395_0_0_0&sr_pri_blocks=9094311_237861395_0_0_0__122920&from=searchresults#hotelTmpl,"El establecimiento Pere IV se encuentra en el distrito de Poble Nou, a 10 minutos a pie de la animada zona del Puerto Olímpico y de las playas de Barcelona. Este hotel cuenta con un spa gratuito. Hay WiFi gratuita y recepción 24 horas.
.

Todas las habitaciones son amplias y cuentan con minibar y TV vía satélite de pantalla plana.

El restaurante a la carta Garum elabora recetas mediterráneas. Además, este hotel sirve un desayuno buffet a diario.

El spa del establecimiento Pere IV incluye sauna finlandesa, hammam, piscina cubierta y duchas de sensaciones.

El establecimiento Pere IV se halla a pocos pasos de la playa y del nuevo puerto deportivo. La estación de metro de Bogatell queda muy cerca y permite acceder fácilmente a la playa y al centro de la ciudad, ambos situados a menos de 15 minutos.",0,1
7,You Stylish Diagonal Apartments,"7,5",€ 1.246,https://www.booking.com/hotel/es/you-stylish-luxury-city-apartments.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4AtWPyK0GwAIB0gIkMzk5M2Q5NDUtNjNjMi00ZTliLTlkYjUtODFhNGViYmQ2YmYz2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-19&checkout=2024-06-23&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=575631b954740581&srepoch=1706166260&all_sr_blocks=39944213_344588512_0_0_0&highlighted_blocks=39944213_344588512_0_0_0&matching_block_id=39944213_344588512_0_0_0&sr_pri_blocks=39944213_344588512_0_0_0__124650&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"El ​​You Stylish Diagonal Apartments ocupa un edificio de estilo modernista de la avenida Avinguda Diagonal de Barcelona, a solo 120 metros de la plaza Plaça de Francesc Macià. Estos modernos apartamentos están equipados con conexión Wi-Fi gratuita y TV de pantalla plana.

Estos apartamentos con aire acondicionado están insonorizados y presentan una decoración elegante con muebles de diseño y suelo de parquet. Todos los apartamentos incluyen salón comedor con un sofá, cocina con fogones, horno, microondas y cafetera, y baño con secador de pelo.

Se puede acceder a una piscina y un pequeño gimnasio cercanos al establecimiento, por un suplemento.

El alojamiento proporciona servicios de limpieza y de guardería, desayunos y otras comidas, por un suplemento. A 5 minutos a pie del You Stylish Business Apartments hay numerosas tiendas, bares y restaurantes.

El You Stylish Diagonal Apartments se encuentra a 13 minutos a pie del extremo del prestigioso bulevar del Passeig de Gràcia. La estación de metro Hospital Clínic está a 10 minutos a pie del alojamiento y conecta con la estación de Barcelona Sants en 2 paradas y con el estadio del Fútbol Club Barcelona Camp Nou, en 4 paradas.",0,1
8,One bedroom Apartment in Eixample !,N/A,€ 826,https://www.booking.com/hotel/es/one-bedroom-apartment-in-eixample.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4AtWPyK0GwAIB0gIkMzk5M2Q5NDUtNjNjMi00ZTliLTlkYjUtODFhNGViYmQ2YmYz2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-19&checkout=2024-06-23&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=575631b954740581&srepoch=1706166260&all_sr_blocks=1136309801_386259451_2_0_0&highlighted_blocks=1136309801_386259451_2_0_0&matching_block_id=1136309801_386259451_2_0_0&sr_pri_blocks=1136309801_386259451_2_0_0__82600&from=searchresults#hotelTmpl,"One bedroom Apartment in Eixample! se encuentra en el barrio de Eixample, en Barcelona, cerca de Estación de tren de Sants. Dispone de terraza, wifi gratis y lavadora. Este apartamento está a 2 km de Fuente Mágica de Montjuïc y a 2,8 km de La Pedrera.

Este apartamento tiene aire acondicionado y cuenta con 1 dormitorio, TV de pantalla plana y cocina con nevera. Hay toallas y ropa de cama en el apartamento.

Casa Batlló está a 2,9 km del alojamiento, y Camp Nou está a 3,1 km. El aeropuerto más cercano (Aeropuerto de Barcelona - El Prat) está a 12 km.",0,1
9,Citadines Ramblas Barcelona,"8,5",€ 1.143,https://www.booking.com/hotel/es/citadines.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4AtWPyK0GwAIB0gIkMzk5M2Q5NDUtNjNjMi00ZTliLTlkYjUtODFhNGViYmQ2YmYz2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-19&checkout=2024-06-23&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=575631b954740581&srepoch=1706166260&all_sr_blocks=9015513_88181413_2_2_0&highlighted_blocks=9015513_88181413_2_2_0&matching_block_id=9015513_88181413_2_2_0&sr_pri_blocks=9015513_88181413_2_2_0__114304&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Este aparthotel ofrece recepción 24 horas en las famosas Ramblas, en el centro de Barcelona, cerca de muchos bares, restaurantes y tiendas. Hay conexión WiFi gratuita en todas las instalaciones.

Todos los estudios y apartamentos del Citadines Ramblas Barcelona cuentan con aire acondicionado y cocina con microondas, nevera y lavavajillas. Los baños están equipados con secador de pelo y todas las habitaciones tienen TV de pantalla plana con canales vía satélite. Las habitaciones clásicas disponen de nevera y hervidor de agua.


Se proporcionan toallas y ropa de cama. El precio incluye la limpieza del apartamento y el cambio de toallas y ropa de cama 1 vez por semana. Se pueden solicitar más servicios de limpieza bajo petición, que se cobrarán de acuerdo con las necesidades de los huéspedes.

El Citadines ofrece servicio de alquiler de coches y bicicletas. El aparthotel también dispone de consigna de equipaje y servicio de venta de entradas para los lugares de interés de Barcelona.

El establecimiento está a solo 100 metros de la plaza Catalunya, donde hay una estación de metro y una parada del autobús del aeropuerto. El espectacular mercado de la Boquería se encuentra a 2 minutos a pie del Citadines Ramblas.",0,1
